infants,water,budget,physician,elsalvador,schools,satellite,contras,missile,immigration,synfuels,education,superfund,crime,dutyfree,southafrica,class
YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,Democrat
NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,ABSTAIN,NO,YES,YES,YES,Republican
NO,YES,YES,NO,NO,NO,YES,YES,ABSTAIN,YES,NO,NO,YES,NO,YES,YES,Democrat
YES,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,Democrat
NO,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,ABSTAIN,YES,Democrat
NO,YES,NO,YES,YES,YES,ABSTAIN,NO,NO,NO,NO,ABSTAIN,YES,YES,NO,NO,Republican
ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,Republican
YES,NO,YES,NO,NO,NO,YES,YES,ABSTAIN,NO,YES,NO,NO,NO,YES,YES,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,Republican
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,Republican
YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,Republican
YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,Democrat
NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,Republican
NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,ABSTAIN,YES,Republican
NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,Democrat
YES,NO,YES,NO,NO,ABSTAIN,YES,YES,YES,NO,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,ABSTAIN,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,ABSTAIN,NO,YES,YES,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,ABSTAIN,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,ABSTAIN,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,Democrat
NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,YES,Republican
YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,Republican
YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,ABSTAIN,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,Democrat
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,Democrat
NO,YES,YES,NO,NO,YES,YES,YES,YES,NO,ABSTAIN,NO,NO,NO,NO,YES,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,ABSTAIN,Democrat
NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES,ABSTAIN,YES,Republican
YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES,Republican
NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,ABSTAIN,NO,YES,YES,NO,NO,Democrat
NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,Republican
NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,YES,Republican
NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,Republican
NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,Republican
NO,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,Democrat
YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,ABSTAIN,Republican
YES,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,ABSTAIN,YES,YES,NO,NO,Republican
NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,Republican
NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,ABSTAIN,YES,Democrat
NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,Democrat
NO,NO,YES,NO,NO,YES,ABSTAIN,YES,ABSTAIN,YES,YES,YES,NO,YES,YES,ABSTAIN,Democrat
YES,YES,YES,ABSTAIN,NO,YES,YES,YES,YES,NO,YES,NO,YES,NO,ABSTAIN,YES,Democrat
YES,YES,YES,NO,YES,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES,YES,Democrat
YES,YES,YES,NO,YES,YES,NO,YES,NO,YES,YES,NO,YES,YES,NO,ABSTAIN,Democrat
YES,NO,YES,NO,ABSTAIN,YES,ABSTAIN,YES,YES,YES,NO,NO,YES,YES,NO,YES,Democrat
YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,NO,ABSTAIN,NO,YES,NO,YES,Democrat
YES,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,Democrat
YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,Democrat
NO,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,ABSTAIN,Democrat
NO,YES,NO,YES,YES,YES,ABSTAIN,ABSTAIN,NO,YES,NO,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,Republican
NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,Republican
YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,ABSTAIN,NO,YES,ABSTAIN,Democrat
NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,Democrat
NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,Democrat
NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,Republican
NO,NO,ABSTAIN,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,Democrat
NO,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,YES,Republican
NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,Republican
NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,ABSTAIN,Republican
NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,Republican
NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,Republican
YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,ABSTAIN,Democrat
NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,Republican
YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,Democrat
NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,Republican
NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,Democrat
YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,Democrat
NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,Republican
NO,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,Republican
NO,YES,YES,YES,YES,YES,YES,ABSTAIN,NO,NO,NO,NO,ABSTAIN,ABSTAIN,YES,ABSTAIN,Republican
NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,Democrat
YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,Democrat
NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,ABSTAIN,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,ABSTAIN,Democrat
NO,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,YES,YES,NO,YES,Democrat
YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,Democrat
YES,YES,YES,NO,ABSTAIN,YES,NO,ABSTAIN,NO,NO,YES,NO,YES,YES,NO,ABSTAIN,Democrat
YES,YES,YES,NO,YES,YES,NO,YES,ABSTAIN,YES,NO,NO,YES,YES,NO,ABSTAIN,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,Republican
NO,YES,NO,NO,YES,YES,NO,NO,ABSTAIN,NO,NO,YES,YES,YES,NO,YES,Democrat
YES,YES,NO,YES,NO,NO,YES,YES,YES,NO,YES,NO,NO,YES,NO,YES,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,Republican
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,Democrat
YES,ABSTAIN,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,ABSTAIN,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,Republican
YES,ABSTAIN,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,ABSTAIN,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,ABSTAIN,Democrat
NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,Democrat
NO,YES,YES,NO,NO,YES,YES,YES,ABSTAIN,NO,YES,YES,NO,NO,YES,YES,Democrat
NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,ABSTAIN,Republican
NO,NO,YES,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,YES,ABSTAIN,YES,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,Democrat
YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,Republican
NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,YES,Republican
NO,ABSTAIN,YES,ABSTAIN,NO,YES,YES,YES,YES,YES,YES,NO,ABSTAIN,ABSTAIN,YES,YES,Democrat
NO,YES,YES,NO,YES,ABSTAIN,YES,NO,NO,YES,YES,NO,YES,NO,YES,YES,Democrat
NO,NO,NO,YES,YES,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,YES,Republican
NO,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,Democrat
NO,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,YES,YES,Republican
NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,Republican
YES,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,Republican
YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,ABSTAIN,Democrat
NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,Republican
NO,YES,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES,YES,Democrat
NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,Republican
NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,ABSTAIN,Democrat
NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,Republican
NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,ABSTAIN,NO,NO,YES,YES,Democrat
YES,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,Republican
NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,Republican
NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,Republican
YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,ABSTAIN,Democrat
NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,ABSTAIN,YES,YES,YES,NO,YES,Republican
YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,Democrat
YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,ABSTAIN,Democrat
YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,Democrat
YES,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,Republican
YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,Republican
NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,NO,ABSTAIN,Democrat
YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,YES,ABSTAIN,Democrat
NO,YES,YES,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,YES,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,Republican
YES,YES,YES,NO,ABSTAIN,YES,YES,YES,NO,YES,ABSTAIN,ABSTAIN,NO,NO,YES,YES,Democrat
YES,YES,YES,NO,ABSTAIN,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,ABSTAIN,Democrat
NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,ABSTAIN,YES,NO,NO,Democrat
NO,YES,YES,ABSTAIN,YES,YES,NO,YES,NO,YES,ABSTAIN,NO,YES,YES,ABSTAIN,YES,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,Republican
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,Democrat
YES,ABSTAIN,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,Democrat
NO,YES,NO,YES,YES,YES,ABSTAIN,ABSTAIN,NO,NO,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,Republican
NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,Republican
NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,Republican
YES,YES,YES,NO,NO,YES,ABSTAIN,YES,YES,NO,YES,NO,YES,NO,YES,YES,Democrat
YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,ABSTAIN,Democrat
YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,ABSTAIN,Democrat
YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,Democrat
YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,Democrat
YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,Democrat
NO,ABSTAIN,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,ABSTAIN,Democrat
YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,ABSTAIN,Democrat
NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,ABSTAIN,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,ABSTAIN,YES,NO,NO,NO,YES,ABSTAIN,Democrat
ABSTAIN,ABSTAIN,NO,NO,ABSTAIN,YES,ABSTAIN,NO,NO,NO,YES,YES,NO,YES,NO,ABSTAIN,Democrat
YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,Democrat
YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,Republican
ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,ABSTAIN,Republican
YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,Democrat
YES,YES,YES,ABSTAIN,NO,NO,NO,YES,NO,NO,YES,ABSTAIN,NO,NO,YES,YES,Democrat
YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,YES,NO,YES,YES,Democrat
YES,YES,NO,NO,YES,ABSTAIN,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,Democrat
NO,YES,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,Democrat
NO,YES,NO,YES,ABSTAIN,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,Republican
NO,YES,NO,YES,YES,YES,NO,ABSTAIN,NO,NO,ABSTAIN,ABSTAIN,ABSTAIN,YES,NO,ABSTAIN,Republican
NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,Republican
ABSTAIN,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,Republican
NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,ABSTAIN,YES,NO,NO,Republican
YES,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,Republican
NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,Republican
YES,NO,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,YES,NO,YES,Democrat
NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,Democrat
YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,YES,ABSTAIN,YES,YES,YES,Democrat
NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,Republican
NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,Republican
YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,Democrat
NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,Republican
YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,NO,YES,Republican
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,Democrat
NO,YES,YES,NO,NO,YES,YES,YES,ABSTAIN,YES,NO,NO,NO,NO,NO,YES,Democrat
YES,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,NO,YES,YES,NO,YES,Republican
YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,Democrat
YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,Democrat
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,Democrat
YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,Republican
NO,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,YES,Democrat
NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,Democrat
NO,YES,YES,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,Democrat
NO,YES,YES,NO,NO,ABSTAIN,YES,YES,YES,YES,YES,NO,ABSTAIN,YES,YES,YES,Democrat
NO,NO,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,ABSTAIN,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,Democrat
NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,Republican
ABSTAIN,ABSTAIN,ABSTAIN,NO,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,Democrat
YES,NO,YES,NO,ABSTAIN,NO,YES,YES,YES,YES,NO,YES,NO,ABSTAIN,YES,YES,Democrat
NO,NO,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,NO,YES,Republican
NO,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,Democrat
NO,ABSTAIN,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,Republican
NO,NO,NO,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,YES,YES,YES,NO,YES,Republican
NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,ABSTAIN,NO,Republican
